콘텐츠,동영상 제목,동영상 게시 시간,조회수,시청 시간(단위: 시간),구독자,평균 시청 지속 시간,노출수,노출 클릭률 (%)
5zbw5nhQy9U,"이제 알게 될 거야, 네가 몰랐던 너의 가능성🌟 l 2023학년도 한국기술교육대학교 수시모집",07-Sep-22,2386,9.4249,1,0:00:14,55839,3.51
OSTGSku2Xls,능력개발교육원  자격교육 오리엔테이션-교직훈련과정 [한국기술교육대학교/KOREATECH],,2372,281.1904,29,0:07:06,44,2.27
rmUoXKBCX6k,우리 학교가 경찰수업 촬영지? | 경찰수업 드라마 이벤트 사전영상 [한국기술교육대학교/KOREATECH],20-Sep-21,2361,33.2349,63,0:00:50,20402,7.2
4Qy-seVVz5s,[한국기술교육대학교/코리아텍] 코리아텍 스피드 드론 영상,28-Nov-18,2346,49.3247,2,0:01:15,23735,4.28
HUNVA_Flxvs,[코리아텍/한국기술교육대학교] 5초 광고영상3,09-Jun-19,2336,3.317,3,0:00:05,23803,5.09
Wu8GPloSKHo,🌸대학의 꽃 홍보대사🌸는 무슨 일을 할까? | 한국기술교육대학교 홍보대사 체험 리뷰 | 워크맨 패러디  [한국기술교육대학교/KOREATECH],02-Oct-21,2327,77.1764,0,0:01:59,31199,5.3
j56UvNcrgZQ,코로나 전후 OT 전격 비교ㅣ화석 선배가 말🐎해주는 대면 오티의 추억ㅣ한국기술교육대학교 #orientation #shorts #reels,13-Feb-23,2320,16.3157,0,0:00:25,13797,4.02
eSKhNmjlGYE,색다른 대학교의 밤🌛 한기대 동아리의 밤🔥 | 2022 동밤 | 한국기술교육대학교 | KOREATECH,11-Oct-22,2286,34.0536,-1,0:00:53,24068,7.63
6s5_XfxCgj8,2022학년도 신설학과 고용서비스정책학과 소개 영상 [한국기술교육대학교/KOREATECH],14-May-21,2278,72.2104,9,0:01:54,20610,5.83
AkYpGnqvbKw,[코리아텍/한국기술교육대학교] 신입생 vs 고학번 퀴즈대결,08-Apr-19,2270,23.381,5,0:00:37,28930,6.25
QCXtCc-umRc,[VLOG] 체육대회 '한'번쯤은 '기대'해도 좋잖아..?☆⁺. ⊹,13-Jun-23,2264,69.1935,2,0:01:50,28184,6.38
Hcff2YXPlTg,[코리아텍]정시합격자 대상 홍보영상 '신과 함께' 패러디 영상,02-Feb-18,2230,35.2167,1,0:00:56,25883,5.51
YBibA6xns8w,[한국기술교육대학교/코리아텍] 2020학년도 수시 전형 소개영상,23-Aug-19,2220,79.0133,11,0:02:08,81700,1.47
Tk_3NsLDXhI,KOREATECH Video,08-Feb-14,2217,121.6325,2,0:03:17,3777,3.15
IHgPJ0UHs6A,등록금 0원?🤷‍♂️너두?🤷‍♀️야나두 #shorts,24-Aug-22,2203,23.4484,2,0:00:38,20604,4.99
saAPpUKmxII,[코리아텍/한국기술교육대학교] 광고영상2,28-Jun-19,2196,7.8605,6,0:00:12,29787,4.37
uL6nsurm4gk,"[한국기술교육대학교] 학부모 입시설명회 - 특강 ""2022학년도 수시모집 지원 전략"" 이만기(2021.06.16)",16-Jun-21,2165,364.0759,4,0:10:05,45652,3.34
53-hnRQGLgc,[드리븐] 속도가 향상된 자작자동차 연구 및 제작,19-Nov-20,2060,37.138,5,0:01:04,14823,2.92
dGrerXz7YaY,아는 형님의 누나의 아는 동생이~ 알려주는 산업경영학부 | 발표 열심히 듣는 모습 귀여워😉 [한국기술교육대학교/KOREATECH],18-Aug-23,2045,54.623,2,0:01:36,14573,7.28
ZNgQYXDf9AY,✨ 나래에게 물어봐 ✨,15-Jul-22,2014,12.2216,9,0:00:21,3695,12.34
rehX17PXQtI,"[한기대] 2023학년도 한국기술교육대학교 학생부교과, 논술, 정시전형 안내",25-Jul-22,1988,67.8818,3,0:02:02,24092,5.07
0gw7dBfOv8U,코리아텍 마네킹 챌린지(KOREATECH mannequin challenge),19-Nov-16,1987,26.7287,0,0:00:48,9603,3.12
5HohU5jZLOo,고용서비스정책학과 | 2022년 신설학과 [한국기술교육대학교/KOREATECH],11-Aug-21,1975,14.8152,11,0:00:27,33227,3.17
bsj1Oa9cd8k,[코리아텍/한국기술교육대학교] 광고영상5,28-Jun-19,1955,3.1813,19,0:00:05,188457,0.71
GaUNnbZGL8c,능력개발교육원  자격교육 오리엔테이션-신중년교직훈련과정 [한국기술교육대학교/KOREATECH],,1948,252.8294,22,0:07:47,24,0
YwgExlw4K1E,[한국기술교육대학교/코리아텍] 2019학년도 코리아텍 입학전형,22-Aug-18,1944,65.0518,10,0:02:00,34898,3.99
c3hWNivm8r0,[코리아텍/한국기술교육대학교]  '나래의 밤' 사후영상,29-May-19,1943,32.8294,4,0:01:00,26671,5.69
GC-ZZ8D4a4s,"컴공오면 VR도 만들공, 드론 코딩도하공😆 | 교수님 피셜 연애하면 A+ ?! | 한기대 컴퓨터공학부 파헤치기! |  [한국기술교육대학교/KOREATECH]",22-Aug-23,1940,44.177,2,0:01:21,13328,6.03
3QEvFaJ4C0c,[전기기사보다졸작] 딥러닝 기술과 Pick-and-Place 로봇을 이용한 스마트팩토리,19-Nov-20,1933,24.1104,0,0:00:44,11796,2.93
ZO83jT3_NAM,Konnect Ep.2 | 나에게 한기대란 | 메카트로닉스공학부_소예진 [한국기술교육대학교/KOREATECH],04-Jan-21,1920,49.8867,-1,0:01:33,25998,5.13
xFff_wLXigM,한국기술교육대학교 재학생 홍보대사 나래 15기 모집 영상📺 | WHO'S NEXT?  | 다음은 바로 YOU | (feat.아우누리 일반공지 30335번),27-Feb-23,1918,27.1632,-1,0:00:50,18498,7.48
WMnXJgeE_l8,"대학은 기술이다, 한국기술교육대학교 [한국기술교육대학교/KOREATECH]",05-Jun-20,1887,7.2239,1,0:00:13,19634,3.31
Xy0LGdZTxdE,[한국기술교육대학교/코리아텍]2019학년도 수시모집 홍보영상 - 2nd,31-Aug-18,1876,20.4521,2,0:00:39,24250,5.51
GLcRtDiU_k0,[KOREATECH] 2015 합격생 환영 동영상,30-Jan-15,1873,10.1299,0,0:00:19,3011,4.88
TxmahVwAK0c,[VLOG] 치타는 오늘도 달린다🐆 발등에 불 떨어진 대학생 시험기간 브이로그🔥,04-Jul-23,1869,50.2022,2,0:01:36,30903,4.81
G_zAHrtsrtE,개교 30주년 기념식 | 클로징(교가 제창) 영상,05-Nov-21,1860,26.5485,0,0:00:51,29553,4.38
kEL4uWA9snA,우리가 축제에 환장한 사람으로 보이나요? (งᐖ)ว 이 순간을 위해 입학했다! 대학 축제 브이로그 🎉,08-Jun-23,1843,68.1838,0,0:02:13,20611,6.39
7WR7s41r7N4,요즘 수험생들의 버킷리스트 TOP5는?🔥 | WingstudiO EP.1 [한국기술교육대학교/KOREATECH],26-Sep-21,1833,64.4864,-3,0:02:06,28335,4.85
eQPF8Z8AJ70,온라인 강의 이상과 현실[한국기술교육대학교/KOREATECH],06-May-20,1815,39.3663,6,0:01:18,27899,5.04
BSoYOnYM7_Y,"대학은 기술이다, 한국기술교육대학교2 [한국기술교육대학교/KOREATECH]",05-Jun-20,1795,6.8893,1,0:00:13,18029,3.49
bTzeZAYL3MQ,[코리아텍/한국기술교육대학교] 5초 광고영상2,09-Jun-19,1788,2.488,2,0:00:05,20313,4.93
UjoPEu79WAU,★구해줘! 나래★ 뚜둔! 2편으로 돌아옴! (ft. 캠퍼스투어_GEC & 다산 편),04-Oct-20,1780,40.218,2,0:01:21,23888,5.65
EN-uyDKkDns,[VLOG] 우당탕탕 컴공 MT 브이로그 | 전지적 학생회 시점 | 대학생 일상 | 🌈학생회 면접 | 방송부 일상,11-Apr-23,1765,65.0692,2,0:02:12,22677,5.47
Ns-hEoxG00E,편입학 졸업생 인터뷰 ㅣ 나와 한기대의 인연 ㅣ 메카트로닉스공학부_김유진,14-Dec-21,1763,25.8382,0,0:00:52,23886,5.59
KU0NLmQW2Co,Konnect Ep.3 | 나에게 한기대란 | 전기전자통신공학부_임규환 [한국기술교육대학교/KOREATECH],06-Jan-21,1760,43.7948,0,0:01:29,32184,4.02
i00adYhpuVk,소확행부터 P.A.R.T.Y. 까지🥳 대학축제를 말하다 #shorts #reels,18-Oct-22,1759,11.9621,0,0:00:24,16316,6.12
BnQxfzetDL0,[가제트포디] 딥러닝을 이용한 활주로 청소로봇,19-Nov-20,1742,22.5648,0,0:00:46,10056,2.44
JKNkfqcKwCM,무엇이든 물어보나? | 신입생 대상 온라인 이벤트🎉 [한국기술교육대학교/KOREATECH],23-Feb-21,1734,20.2241,1,0:00:41,20846,6.64
xohLEt-B33I,이게 바로...공대 썸? 두근두근 화학생명공학전공 LAB실 투어★ | 너 T야? 응! 나 KOREAⓣECH 이야! 😚| [한국기술교육대학교/KOREATECH],29-Aug-23,1730,52.7114,2,0:01:49,15971,6.39
HobRd7NM9Lg,[AJ] 신체가 불편한 사람들을 위한 시선추적 시스템 휠체어,19-Nov-20,1720,24.9975,0,0:00:52,10769,2.59
gFZC7kYAIXk,"푸바오 낙서를 건 한기대 수시전형 퀴즈게임! 이 게임...누가 이길까?👀 READY, SET, GO!",11-Aug-23,1708,36.8216,2,0:01:17,13869,5.18
NUEjlzLqvgI,2017년도 한국기술교육대학교 신입생 환영 영상,17-Jan-17,1706,11.2643,0,0:00:23,15367,4.87
U1-OOouYoZw,공대생은 자동차를 만들어🔨ㅣ한기대 자동차 설계 제작 동아리 자.연.인🚘,15-Sep-22,1700,13.8553,0,0:00:29,23013,5.34
sbgbPHQlNzs,코리아텍 오케스트라 동아리 플래시몹,24-Nov-14,1695,64.4998,2,0:02:16,17150,2.92
d9OQHG2dlew,"KOREATECH Official PR Film - Technology toward People, Education changing the world",28-Mar-22,1675,26.4307,8,0:00:56,23092,5.5
2cb2HhamlQk,[한국기술교육대학교/코리아텍] 신입생 환영 영상4,05-Feb-20,1665,9.9732,-4,0:00:21,18021,6.78
iE9VQk31sVY,2021 졸업작품 | 전기·전자·통신공학부 | 디지털 워터 커튼 [한국기술교육대학교/KOREATECH],30-Jun-21,1656,24.4831,1,0:00:53,18165,6.28
OxJ6pcEPDGE,재학생 홍보대사 나래 13기를 소개합니다 [한국기술교육대학교/KOREATECH],01-Sep-21,1653,18.2096,0,0:00:39,19546,7.07
XQ1rx0CR6Jw,[크로믹] Digitally controlled electrochromic boards,19-Nov-20,1646,20.3528,2,0:00:44,10835,2.44
VYjv48o_rdU,[로빈훗] AR 클레이 양궁 게임,19-Nov-20,1637,22.0181,-1,0:00:48,9974,1.25
tnn6A9E-DgM,2024년 한국기술교육대학교 입시 콘서트 : 한기대 한번 기대해봐!,11-Aug-23,1636,188.6343,32,0:06:55,16691,7.39
CliVDpZUGIU,[한국기술교육대학교/코리아텍] 코리아텍 일반전형 (논술) 통합 풀이영상,23-Aug-19,1634,61.1388,16,0:02:14,85638,1.42
_vkgnLTyQaY,Konnect Ep.5 | 나에게 한기대란 | 산업경영학부_오운진 [한국기술교육대학교/KOREATECH],08-Jan-21,1627,38.4214,2,0:01:25,34612,3.17
MooiJXDOqkI,2022학년도 정시전형 합격자 대상 캠퍼스투어 [한국기술교육대학교/KOREATECH],23-Mar-22,1624,26.6796,-1,0:00:59,19457,6.7
kieo0Q5Eo0I,[한국기술교육대-한국항공대-한동대] 공동 온라인 입시설명회 - 경기지역(2021.06.05),05-Jun-21,1620,184.0505,9,0:06:49,20764,4.97
0dWVihVIcB4,[코리아텍/한국기술교육대학교] 광고영상4,28-Jun-19,1617,2.6516,4,0:00:05,117643,0.94
mC1js-v59IE,[한국기술교육대학교] KBS2TV 굿모닝 대한민국 한기대 하이브리드 경진대회,31-Oct-12,1615,50.773,0,0:01:53,9845,3.17
q-PfUdm1Slw,[KOREATECH] 학생이 가장 행복한 대학! 한국기술교육대,09-Jul-13,1613,33.3504,0,0:01:14,6513,3.06
9EB0LFUe5pI,편입생은 학교에 만족할까?🧐ㅣ한기대 편입 인터뷰 하이라이트ㅣ한국기술교육대학교ㅣ편준생 주목✊,16-Dec-22,1611,10.7035,1,0:00:23,17712,2.65
Mm92GYkOsnY,"국내 유일★ 특별함이 가득한 고용서비스정책학과! | 공무원, 공인노무사, 공단, 대기업 취업 어렵지 않지😉| [한국기술교육대학교/KOREATECH]",31-Aug-23,1606,30.8162,3,0:01:09,13590,5.11
z81A0_WO6zM,[한국기술교육대학교/코리아텍] 코리아텍 재학생 홍보대사 나래 11기 모집,18-Feb-19,1604,23.2696,2,0:00:52,19570,5.68
_-lzmbsO5DY,대학생 가을🍂 플레이리스트 l 바이브부터 Day6까지 l 공대생 감성 플리 l 공대 대학 생활,26-Oct-22,1599,51.7672,-1,0:01:56,31339,3.87
LdxIDbJRA0U,코사이드 아웃   Q&A편[한국기술교육대학교/KOREATECH],05-May-20,1592,27.1023,3,0:01:01,17372,7.12
GAgG3BlJIrM,나래 12기 모집영상[한국기술교육대학교/KOREATECH],03-Mar-20,1591,11.9607,0,0:00:27,19951,6.03
p-f3NPcVyrk,수험생을 위한 의자 스트레칭🧘‍♀ | 유튜버 재미나 님과 함께한 요가영상 (feat. 집중력 향상),23-Oct-20,1542,23.3896,5,0:00:54,15711,4.12
X4b2ipmJitE,"4년간 5천만원? 장학금 막 퍼주는 대학이 있다?😲ㅣ공기업 기본 스펙, 면접 꿀팁 대방출 🧐 ㅣ한국기술교육대학교 졸업생을 만나다 Ep. 2 한국철도공사편",08-Feb-23,1540,54.3993,5,0:02:07,20417,4.87
DnzV-Z5xxFE,등록금 0원?너두?🤷‍♀️야나두🤷‍♂️! 코룡이와 알아보는 한기대 YES or NO,24-Aug-22,1535,45.0578,-1,0:01:45,24121,3.82
kEGQHR-aDXM,[팀304] 젠가 로봇,19-Nov-20,1535,15.3212,3,0:00:35,7992,2.4
JxZDIdAk8U4,KOREATECH 한기인상,06-Jan-14,1533,74.5858,2,0:02:55,3448,2.47
X49OudmpIJs,눈 돌아가는👀 한기대 졸작전시회 같이 갈 사람🙋‍♀️ㅣ2022학년도 졸업연구작품 전시회 [한국기술교육대학교/KOREATECH],28-Jul-22,1521,31.6134,0,0:01:14,18619,6.03
eEwIGCOAZVo,[한국기술교육대학교/코리아텍] 2020학년도 수시모집 영상,01-Sep-19,1517,15.4572,6,0:00:36,57677,1.76
yg7K2LX-CxM,[에스비에스] 스마트 안전모,19-Nov-20,1513,20.1783,1,0:00:48,10660,1.67
WI2jtNgw62I,[다이스] 얼굴인식을 기반한 초상권 침해 방지 시스템,19-Nov-20,1510,19.1644,1,0:00:45,7900,0.95
KFjZISDarBE,[로스구이] 음성인식과 컴퓨터 비전을 활용한 모바일 매니퓰레이션 시스템 통합,19-Nov-20,1506,19.105,0,0:00:45,8949,1.31
z85Odd-oLPk,P에게도 계획이 있다고?🤔 MBTI별 대학 생활 | WingstudiO EP. 3 [한국기술교육대학교/KOREATECH],30-Dec-21,1502,37.1255,1,0:01:28,21025,5.52
he1hJiE-y28,Konnect Ep.7 | 나에게 한기대란 | 건축공학과_최강식 [한국기술교육대학교/KOREATECH],20-Jan-21,1484,50.1396,0,0:02:01,29162,2.35
4XLn8I2fzm4,"한국기술교육대학교 제 6회 교육콘서트 - [한국기술교육대, 위드 코로나!]",17-Nov-21,1481,120.0216,-2,0:04:51,22833,4.66
V3mJ5fgyde4,아는 형님의 아는 동생이 알려주는 산업경영학부 빼이~ | 한국기술교육대학교/KOREATECH | #shorts #reels,18-Aug-23,1479,8.3977,0,0:00:20,6579,3.86
FQGgnv7h-2A,[회귀본능] PID 제어를 이용한 스튜어트 플랫폼 볼 밸런싱,19-Nov-20,1477,20.0692,2,0:00:48,3583,3.1
ObfAeC12Q0Q,[코리아텍/한국기술교육대학교] YTN 사이언스-한국기술교육대 스마트 러닝 팩토리 영상,15-Apr-19,1476,93.4714,4,0:03:47,32172,2.74
KYSCxadYFC0,[소통정통] 유튜브 연동 타임슬립 학습 플랫폼,19-Nov-20,1473,16.3843,0,0:00:40,7405,1.42
6PLPLHvFeDU,나래가 다녀온 2022학년도 정시 대학입학정보 박람회 #shorts,14-Jan-22,1464,9.6015,0,0:00:23,15510,4.16
EiHsV80yK7c,Konnect Ep.1 | 나에게 한기대란 | 컴퓨터공학부_오병호 [한국기술교육대학교/KOREATECH],04-Jan-21,1463,28.5182,2,0:01:10,18181,4.92
c6jPNbsJXBs,홍보대사 나래가 하는 일이 궁금하다고?🧐 여기야 여기! | 한국기술교육대학교 재학생 홍보대사 나래 14기 업무 소개 영상📽️(feat.회장단-기획운영팀-미디어홍보팀-콘텐츠디자인팀),25-Feb-23,1455,17.7762,2,0:00:43,16493,6.57
6wiJGxg35tQ,[아키블] 안드로이드 스튜디오 기반의 건축구조역학 교육용 어플리케이션 및 교구 개발,19-Nov-20,1434,17.7796,3,0:00:44,9432,1.28
v8Y6MiGgQGQ,능력개발교육원 교•강사 보수교육 오리엔테이션_기본교육(교직분야) [한국기술교육대학교/KOREATECH],,1426,71.3961,6,0:03:00,1,0
4wcZnn0Y2I4,나래 13기를 모집합니다! _ 나래 12기 부서별 업무소개 [한국기술교육대학교/KOREATECH],24-Mar-21,1424,14.9573,0,0:00:37,14497,7.91
nTMiDYoJtQ4,[코리아텍] 2016 나우리캠프,19-Feb-17,1416,64.2305,2,0:02:43,7710,5.3
nUpZCOVMXTA,[김동윤] 작업효율을 높이는 조경 전동 멀티 공구,19-Nov-20,1412,20.9482,1,0:00:53,10358,1.74
Z2DRY2sSino,2022학년도 논술고사 대비 문제 풀이 | 수학 | 오후 [한국기술교육대학교/KOREATECH],05-Jul-21,1408,26.4711,7,0:01:07,17421,6.41
FuE13Yew0ks,"우리 아이가 달라졌어요🧐, 대학생이 되고 달라진 점들! | WingstudiO EP. 7 [한국기술교육대학교/KOREATECH]",07-Nov-22,1406,44.1483,1,0:01:53,19390,5.87
YfigRC--mh0,학점보다 경험! 공대생 삼성전자 합격기ㅣ현직자피셜 삼성 취업 꿀팁,08-Mar-23,1405,55.5233,0,0:02:22,15416,5.77
FBaU_o4_YGk,재학생 홍보대사 나래 13기 부서별 업무소개 및 활동 [한국기술교육대학교/KOREATECH],07-Mar-22,1401,30.9482,-6,0:01:19,18538,6
ivBHpNU-2Ug,2021학년도 한국기술교육대학교 전형 소개_학생부 종합전형 [한국기술교육대학교/KOREATECH],04-Jun-20,1401,40.5416,4,0:01:44,23100,3.26
P74uWy8h-Kk,[코리아텍/한국기술교육대학교] 신입생vs고학번 퀴즈대결 행사 후 영상,16-Apr-19,1392,12.4669,2,0:00:32,18922,5.94
PSLaRqDh12I,떠나요~ 제주도~ 겁없이 뜨겁게! 한기대 국토대장정 소희 Vlog [한국기술교육대학교/KOREATECH],21-Sep-23,1389,47.7737,-3,0:02:03,23367,4.57
tq_5lmqNiF0,[한국기술교육대학교/코리아텍] 신입생 환영 영상2,05-Feb-20,1366,11.7764,-1,0:00:31,18345,6.2
QmzVvarmPXg,2021 졸업작품 | 메카트로닉스공학부 | 비전 시스템을 이용한 인공지능 불량 판별 시스템 [한국기술교육대학교/KOREATECH],09-Jul-21,1363,22.7943,1,0:01:00,20223,4.74
c52jij3uYdg,[한국기술교육대학교/코리아텍]신입생 환영 영상 1,05-Feb-20,1349,10.8724,-1,0:00:29,17324,6.29
sdSPCz8U0BM,대학교 오면 이런 사람 꼭 있다? 한 번쯤 꼭 봤을 대학생 유형😤 | WingstudiO EP. 9 [한국기술교육대학교/KOREATECH],18-Mar-23,1342,37.0229,1,0:01:39,18117,6.09
BjZXpjG0Hk4,2021 졸업작품 | 기계공학부 | 실내 공기질 개선을 위한 스마트 창문 제어 시스템 [한국기술교육대학교/KOREATECH],01-Jul-21,1338,24.6734,1,0:01:06,15816,5.2
DQhLG39Q83A,우리…마라탕 먹을 수 있을까?😢 l 대학교 장학제도 알아보기 #shorts #reels,13-Mar-23,1337,11.0339,0,0:00:29,13765,4.13
4OMujgjczqY,"🌈소개는 우리가 할게, 이용은 누가 할래? 한줌단's 대학시설 뽀개기 👊🗯️| 보건실 이벤트 시간 확인 주의 ;;🚨 | 결국 성적공개?! | 대학생 일상 | 봄맞이 피크닉🧺🌸",09-May-23,1334,42.777,0,0:01:55,22186,4.22
HJUz8sdvBkg,[메조] Li-SOCI2 전지 고율특성 향상을 위한 나노구조 탄소 양극재 합성 및 전기화학적 특성에 관한 연구,20-Nov-20,1333,13.1024,2,0:00:35,8539,1.22
wKklRQu8s1g,무엇이 당신의 공부를 멈추게 하나요?_컴퓨터공학부 홍보영상 [한국기술교육대학교/KOREATECH],02-Jun-20,1305,16.5069,0,0:00:45,16443,6.22
UQQPMgyRzy0,"K-대학생 과제 공감 ""내 과제 유형은?"" 나는.. 정상이지👀 [한국기술교육대학교/KOREATECH] #shorts #reels",08-Sep-23,1291,11.5379,2,0:00:32,8672,3.25
qIu7hY4ISPw,나래 13기 모집 설명회 [한국기술교육대학교/KOREATECH],15-Mar-21,1288,13.6887,-1,0:00:38,13611,7.63
9wgXgE3x3FU,대학생 연애 밸런스 게임 l 환승이별 VS 잠수이별 l 얘들아 진정해😫 l WingstudiO EP. 6 [한국기술교육대학교/KOREATECH],06-Sep-22,1282,30.2092,0,0:01:24,22397,4.81
6DlNzkPpun8,시험 기간? 우리랑 같이 공부하자! 📖 | 밤샘 Study with Me | 공대생 스터디로그 [한국기술교육대학교/KOREATECH],03-Jan-23,1279,22.9401,1,0:01:04,15458,6.54
YFe-4VCa4NA,★현실주의★ 친자매가 같은 학교에 다니면 생기는 일 (ft. 코룡이 귀.여.워) [한국기술교육대학교/KOREATECH],13-Jul-20,1278,34.1267,0,0:01:36,14793,6.94
gVwRwommjeY,[코리아텍]수시 1단계 전형 합격자대상 코리아텍 홍보영상,11-Oct-17,1255,9.5664,2,0:00:27,12729,4.78
Q75ryBvtpGQ,"코룡아, 나 지금 되게 신나🧡오늘만을 기다렸다😏한기대 나우리캠프👀 #shorts #reels",21-Mar-23,1244,7.0604,2,0:00:20,12625,3.41
dQAb6YzVBhk,프로그래밍 못 해도 컴공 취업 가능한가요?😳ㅣ중소기업에서 네카라쿠배 이직한 썰까지ㅣ한국기술교육대학교 졸업생을 만나다 Ep. 3 카카오뱅크편,13-Feb-23,1244,39.1479,3,0:01:53,19067,3.9
TDLTzl-R694,"야, 너두 코딩할 수 있어!_컴퓨터공학부 홍보영상2 [한국기술교육대학교/KOREATECH]",02-Jun-20,1203,12.5616,4,0:00:37,14829,6.14
